query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
3184,61,9057,1293,4k5u_GAL_D_301,6,smina,False,True,0.61942834,1.2069612,1.0013292,0,14622,9057.2812,0.89615582,0.82900095
3185,61,17672,2524,6zjw_GAL_A_1101,4,gnina,False,True,0.57073382,0.95535454,3.3383071,0,14622,8345.2699,0.016058939,2.4410029
3186,61,501,71,1e8g_FCR_B_601,4,gnina,False,True,0.57016962,0.95595585,3.3276064,0,14622,8337.0202,0.066671352,3.6890268
3187,61,6157,879,3mk1_NPO_A_911,4,gnina,False,True,0.56974676,0.96568643,3.2010667,0,14622,8330.8372,0.026093389,2.4961129
3188,61,2209,315,1ov5_2LP_A_403,4,gnina,False,True,0.56946156,0.95942193,3.2763429,0,14622,8326.6669,0.99478527,1.8284144
3189,61,2181,311,1okm_SAB_A_555,4,gnina,False,True,0.56852934,0.91219739,3.9191422,0,14622,8313.036,0.97463114,3.7637088
3190,61,2174,310,1o8a_NXA_A_702,4,gnina,False,True,0.56843003,0.95325413,3.3498135,0,14622,8311.5839,0.99091045,2.5808275
3191,61,17224,2460,6tor_PMP_A_504,4,gnina,False,True,0.56735533,0.91257731,3.9081945,0,14622,8295.8697,0,3.2501699
3192,61,10546,1506,4xti_IMP_A_601,4,gnina,False,True,0.56223017,0.91020575,3.9357538,0,14622,8220.9296,0.93205912,4.5787503
3193,61,3571,510,1zei_CRS_E_54,1,unimol,True,False,0.87055913,0.62895667,16.860001,0,9417,8198.0553,0.98713007,14.93
3194,61,5508,786,2vag_V25_A_1482,6,smina,False,True,0.56040636,1.1213547,1.6066693,0,14622,8194.2618,0,3.2649804
3195,61,392,56,1dpm_EBP_A_901,0,surfdock,False,True,0.55388572,0.91267813,3.2658193,0,14622,8098.9169,0.00036292408,2.8164722
3196,61,406,58,1dpm_EBP_B_903,0,surfdock,False,True,0.55388572,0.91267813,3.2658193,0,14622,8098.9169,0,2.7031244
3197,61,1169,167,1hkn_N2M_C_4138,0,surfdock,False,True,0.55388572,0.90766678,3.3334053,0,14622,8098.9169,0.9783261,2.6297896
3198,61,6160,880,3mk1_NPO_A_912,0,surfdock,False,True,0.55388572,0.92098739,3.1560946,0,14622,8098.9169,0,2.2563475
