query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
17377,387,3866,552,2bxh_IOS_B_1002,2,diffdock,0.014889224,0.014889224,,,4.0439384e-09,29.197946
17378,387,15766,2252,6l59_CIT_B_403,2,diffdock,0.014855483,0.014855483,,,0,30.809663
17379,387,16613,2373,6qde_HWW_A_502,2,diffdock,0.014830112,0.014830112,,,0,33.748643
17380,387,14310,2044,5ybl_AKG_A_302,2,diffdock,0.014801702,0.014801702,,,2.1837612e-53,30.050242
17381,387,10747,1535,4zb2_FRU_A_404,2,diffdock,0.014774728,0.014774728,,,0,22.104799
17382,387,11146,1592,5aov_GLV_A_1336,2,diffdock,0.014759903,0.014759903,,,0.035166269,12.263839
17383,387,9788,1398,4p8c_Y22_B_502,2,diffdock,0.014729087,0.014729087,,,3.6973269e-63,42.95625
17384,387,14807,2115,6c6w_TFX_A_502,2,diffdock,0.014702604,0.014702604,,,0,17.647871
17385,387,3068,438,1wc7_PP3_A_1214,2,diffdock,0.014685003,0.014685003,,,0,32.950833
17386,387,2998,428,1w1a_NDG_1_1261,2,diffdock,0.014631476,0.014631476,,,0.92485861,23.893833
17387,387,11986,1712,5g0v_JDD_B_1271,2,diffdock,0.014554372,0.014554372,,,0,58.922738
17388,387,14968,2138,6e40_BBJ_B_502,2,diffdock,0.014484966,0.014484966,,,3.1314563e-54,45.580702
17389,387,16424,2346,6p9t_O5D_A_307,2,diffdock,0.014446042,0.014446042,,,0,21.257071
17390,387,17271,2467,6uqd_QF4_A_501,2,diffdock,0.014433301,0.014433301,,,0,46.273604
17391,387,4328,618,2g9z_VNP_B_601,2,diffdock,0.014431119,0.014431119,,,0,39.22491
17392,387,12070,1724,5gto_MYR_A_502,2,diffdock,0.01440669,0.01440669,,,0,20.388289
17393,387,15038,2148,6f2v_AMP_A_1001,2,diffdock,0.014230006,0.014230006,,,0,48.318272
17394,387,12511,1787,5ivg_FPS_B_704,2,diffdock,0.014210158,0.014210158,,,0,41.059268
17395,387,12973,1853,5lwy_OLB_A_409,2,diffdock,0.014202475,0.014202475,,,0,28.393884
17396,387,569,81,1g79_PLP_A_260,2,diffdock,0.014194395,0.014194395,,,1.9076807e-08,17.18079
17397,387,9529,1361,4n4j_HG1_A_607,2,diffdock,0.014177758,0.014177758,,,0,27.544209
17398,387,2788,398,1tuu_PIS_B_2854,2,diffdock,0.014161366,0.014161366,,,9.2188022e-49,25.976858
17399,387,17628,2518,6zi7_QR8_D_502,2,diffdock,0.013942967,0.013942967,,,0,35.397609
17400,387,17306,2472,6uxr_K6G_B_202,2,diffdock,0.013882913,0.013882913,,,0,12.780633
17401,387,6134,876,2zyv_NPO_X_1601,2,diffdock,0.013843349,0.013843349,,,0,15.234462
17402,387,11433,1633,5del_ORO_A_602,2,diffdock,0.013691276,0.013691276,,,1.9501241e-23,17.494368
17403,387,1028,146,1hkn_N2M_D_5139,6,smina,0.013627848,0.013627848,,,0,1.1685389
