query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
943,764,2653,379,1u18_HSM_A_401,0,surfdock,False,True,0.54209065,0.76690495,2.6250226,0,16859,9139.1063,0.88445605,2.3947556
944,765,2654,379,1u18_HSM_A_401,1,unimol,True,False,0.80304957,0.51329367,19.497473,0,16079,12912.234,0,17.83
945,766,5103,729,2qxf_TMP_A_3000,0,surfdock,False,True,0.54283178,0.76005731,2.7526119,0,16857,9150.5154,0.97848271,3.2517104
946,767,5104,729,2qxf_TMP_A_3000,1,unimol,True,False,0.81883508,0.49285518,21.493357,0,14585,11942.71,0,19.07
947,768,6272,896,3t3q_9PL_B_501,0,surfdock,False,True,0.63247807,0.76012407,3.8598547,0,16855,10660.418,0.00011128351,3.1155567
948,769,36,5,1a9r_HPA_A_290,1,unimol,True,False,0.77505892,0.53011283,17.837704,0,16854,13062.843,0,23.95
949,770,43,6,1ac4_TMT_A_296,1,unimol,True,False,0.77540047,0.51374883,19.262388,0,16272,12617.317,0.98176216,17.91
950,771,92,13,1aj8_CIT_A_1000,1,unimol,True,False,0.77524998,0.4872883,21.880167,0,14324,11104.681,0.93700491,18.15
951,772,113,16,1anc_BEN_A_290,1,unimol,True,False,0.77507362,0.54052164,16.977501,0,16851,13060.766,0.96829228,21.5
952,773,127,18,1aog_MAE_A_500,1,unimol,True,False,0.77490019,0.54382638,16.714642,0,16850,13057.068,0,22.38
953,774,540,77,1fwn_PEP_A_1268,1,unimol,True,False,0.77521784,0.51539096,19.086767,0,16417,12726.751,0.97246389,16.34
954,775,652,93,1gim_HDA_A_438,1,unimol,True,False,0.77506817,0.47537825,23.174017,0,13521,10479.697,0.95115893,13.94
955,776,953,136,1h8p_PC_A_1110,1,unimol,True,False,0.77490103,0.50488863,20.054335,0,15624,12107.054,0.87982616,21.77
956,777,1576,225,1lro_PEP_A_1268,1,unimol,True,False,0.77470895,0.51799041,18.833916,0,16635,12887.283,0.97226163,22.82
